,Elevacion
2371,2593
2372,2722
2373,2670
2374,2712
2375,2610
2376,2345
2377,2021
2378,1734
2379,1611
2380,1619
2381,1086
2382,1098
2383,1169
2384,1602
2385,1177
2386,1517
2387,1595
2388,1572
2389,1312
2390,1152
2391,1420
2392,1684
2393,1737
2394,1548
2395,1710
2396,1697
2397,1511
2398,1144
2399,1155
2400,1220
2401,1098
2402,1278
2403,1198
2404,933
2405,605
2406,603
2407,720
2408,1033
2409,1112
2410,675
2411,583
2412,576
2413,678
2414,719
2415,492
2416,366
2417,382
2418,337
2419,330
2420,295
2421,397
2422,466
2423,431
2424,463
2425,406
2426,325
2427,359
2428,320
2429,275
2430,267
2431,258
2432,247
2433,250
2434,245
2435,243
2436,240
2437,240
2438,230
2439,233
2440,233
2441,230
2442,227
2443,224
2444,220
2445,218
2446,215
2447,215
2448,211
2449,211
2450,1230
2451,1017
2452,867
2453,855
2454,624
2455,561
2456,839
2457,743
2458,587
2459,420
2460,533
2461,412
2462,394
2463,397
2464,335
2465,599
2466,458
2467,464
2468,390
2469,333
2470,287
2471,287
2472,254
2473,290
2474,226
2475,217
2476,223
2477,258
2478,233
2479,210
2480,246
2481,220
2482,249
2483,230
2484,216
2485,190
2486,187
2487,185
2488,185
2489,187
2490,185
2491,181
2492,180
2493,188
2494,185
2495,182
2496,185
2497,208
2498,207
2499,252
2500,374
2501,747
2502,586
2503,370
2504,262
2505,433
2506,304
2507,372
2508,446
2509,652
2510,563
2511,786
2512,522
2513,566
2514,854
2515,818
2516,687
2517,744
2518,910
2519,1056
2520,1174
2521,1114
2522,1332
2523,1149
2524,810
2525,663
2526,860
2527,741
2528,767
2529,969
2530,950
2531,1201
2532,1083
2533,1211
2534,1472
2535,1664
2536,1860
2537,1712
2538,1496
2539,1306
2540,1382
2541,1325
2542,1426
2543,1342
2544,1436
2545,1352
2546,1123
2547,1284
2548,1063
2549,1278
2550,1111
2551,1001
2552,663
2553,497
2554,791
2555,899
2556,706
2557,524
2558,824
2559,1034
2560,1065
2561,1132
2562,886
2563,928
2564,1127
2565,1277
2566,1350
2567,1473
2568,1778
2569,1865
2570,2029
2571,2366
2572,2468
2573,2883
2574,2771
2575,2802
2576,2905
2577,2807
2578,2718
2579,2837
2580,2873
2581,2776
2582,2653
2583,2678
2584,2749
2585,2671
2586,2610
2587,2621
2588,2698
2589,2611
2590,2563
2591,2566
2592,2566
2593,2561
2594,2561
2595,2602
2596,2702
2597,2651
2598,2748
2599,2729
2600,2502
2601,2363
2602,2275
2603,2177
2604,2161
2605,2203
2606,2149
2607,2187
2608,2136
2609,2230
2610,2248
2611,2239
2612,2256
2613,2387
2614,2491
2615,2376
2616,2414
2617,2465
2618,2403
2619,2273
2620,2309
2621,2334
2622,2539
2623,2674
2624,2719
2625,2541
2626,2722
2627,2793
2628,2715
2629,2655
2630,2667
2631,2807
2632,2925
2633,3092
2634,3097
2635,3045
2636,2920
2637,2878
2638,2838
2639,2793
2640,2755
2641,2827
2642,2708
2643,2695
2644,2704
2645,2778
2646,2939
2647,2834
2648,2816
2649,2938
2650,2956
2651,2892
2652,2911
2653,2916
2654,2844
2655,2812
2656,2765
2657,2706
2658,2781
2659,2762
