,Elevacion
2053,78
2054,77
2055,81
2056,81
2057,78
2058,100
2059,76
2060,99
2061,106
2062,115
2063,106
2064,83
2065,103
2066,91
2067,115
2068,138
2069,106
2070,100
2071,104
2072,107
2073,106
2074,92
2075,91
2076,94
2077,120
2078,108
2079,111
2080,128
2081,99
2082,92
2083,93
2084,94
2085,87
2086,97
2087,91
2088,98
2089,105
2090,96
2091,97
2092,105
2093,101
2094,100
2095,122
2096,101
2097,124
2098,109
2099,113
2100,709
2101,757
2102,921
2103,1116
2104,1505
2105,1954
2106,1755
2107,1440
2108,1378
2109,1217
2110,1073
2111,1271
2112,1450
2113,1471
2114,1758
2115,2293
2116,2088
2117,1853
2118,1854
2119,1912
2120,1855
2121,1599
2122,1290
2123,1046
2124,1121
2125,1281
2126,1532
2127,1922
2128,2131
2129,2386
2130,2446
2131,2164
2132,2263
2133,2402
2134,2555
2135,2408
2136,2455
2137,2614
2138,2764
2139,2598
2140,2531
2141,2447
2142,2414
2143,2337
2144,2132
2145,2381
2146,2385
2147,2378
2148,2453
2149,2477
2150,2508
2151,2477
2152,2468
2153,2402
2154,2284
2155,2258
2156,2227
2157,2194
2158,2220
2159,2265
2160,2283
2161,2364
2162,2603
2163,2473
2164,2326
2165,2236
2166,2175
2167,2165
2168,1924
2169,1879
2170,1913
2171,1945
2172,1948
2173,1948
2174,1934
2175,1880
2176,1778
2177,1647
2178,1564
2179,1437
2180,1390
2181,1388
2182,1317
2183,1403
2184,1660
2185,1666
2186,1659
2187,1910
2188,1739
2189,1604
2190,1382
2191,1101
2192,1114
2193,1427
2194,1759
2195,1757
2196,1603
2197,1655
2198,1716
2199,1762
2200,1717
2201,1688
2202,1705
2203,1740
2204,1423
2205,1357
2206,1479
2207,1436
2208,1273
2209,1247
2210,1029
2211,798
2212,761
2213,577
2214,582
2215,837
2216,914
2217,1353
2218,1620
2219,1477
2220,1460
2221,1517
2222,1481
2223,1547
2224,1616
2225,1610
2226,1612
2227,1572
2228,1491
2229,1442
2230,1533
2231,1421
2232,1301
2233,1256
2234,1196
2235,1032
2236,1170
2237,1161
2238,1002
2239,1187
2240,1239
2241,1207
2242,1164
2243,1139
2244,1097
2245,1144
2246,1009
2247,992
2248,805
2249,784
2250,654
2251,606
2252,537
2253,606
2254,690
2255,722
2256,824
2257,926
2258,865
2259,811
2260,933
2261,937
2262,899
2263,781
2264,846
2265,800
2266,792
2267,829
2268,736
2269,814
2270,800
2271,828
2272,827
2273,748
2274,692
2275,749
2276,696
2277,707
2278,721
2279,687
2280,700
2281,678
2282,645
2283,651
2284,654
2285,580
2286,581
2287,549
2288,559
2289,595
2290,559
2291,575
2292,568
2293,587
2294,609
2295,593
2296,568
2297,520
2298,592
2299,539
2300,547
2301,610
2302,554
2303,574
2304,553
2305,481
2306,542
2307,630
2308,582
2309,468
2310,458
2311,466
2312,433
2313,364
2314,432
2315,425
2316,433
2317,416
2318,407
2319,291
2320,320
2321,387
2322,342
2323,340
2324,289
2325,304
2326,299
2327,284
2328,246
2329,246
2330,226
2331,217
2332,252
2333,269
2334,251
2335,243
2336,177
2337,170
2338,122
2339,125
2340,126
2341,96
2342,98
2343,105
2344,96
2345,111
2346,119
2347,121
2348,108
2349,104
2350,112
2351,97
2352,109
2353,105
2354,94
2355,122
2356,115
2357,113
2358,133
2359,138
2360,99
2361,103
2362,97
2363,117
2364,97
2365,115
2366,80
2367,100
2368,91
2369,102
2370,103
2371,91
2372,110
2373,125
2374,113
2375,119
2376,91
2377,113
2378,98
2379,118
2380,96
2381,97
2382,86
2383,96
2384,77
2385,82
2386,98
2387,76
2388,83
2389,97
2390,81
2391,92
2392,99
2393,86
2394,83
2395,79
2396,80
2397,91
2398,75
2399,81
2400,79
2401,79
2402,79
2403,78
2404,83
2405,84
2406,84
2407,78
2408,80
2409,98
2410,94
2411,107
2412,97
2413,80
2414,81
2415,88
2416,108
2417,91
2418,103
2419,104
2420,95
2421,91
2422,103
2423,91
2424,100
2425,90
2426,88
2427,111
2428,104
2429,97
2430,93
2431,90
2432,87
2433,103
2434,94
2435,88
2436,92
2437,88
2438,98
2439,94
2440,94
2441,104
2442,99
2443,96
2444,98
2445,102
2446,99
2447,104
2448,102
2449,110
2450,821
2451,924
2452,1256
2453,1440
2454,1390
2455,1682
2456,2029
2457,1767
2458,1376
2459,987
2460,1083
2461,1429
2462,1571
2463,1726
2464,2047
2465,2247
2466,2087
2467,1774
2468,1527
2469,1728
2470,1926
2471,1842
2472,1530
2473,1216
2474,1068
2475,898
2476,1243
2477,1578
2478,1870
2479,2058
2480,2030
2481,1979
2482,2264
2483,2202
2484,2199
2485,2425
2486,2374
2487,2546
2488,2598
2489,2647
2490,2641
2491,2564
2492,2440
2493,2277
2494,2193
2495,2071
2496,2071
2497,2244
2498,2439
2499,2535
2500,2460
2501,2455
2502,2479
2503,2381
2504,2387
2505,2388
2506,2390
2507,2345
2508,2398
2509,2456
2510,2504
2511,2622
2512,2738
2513,2730
2514,2508
2515,2398
2516,2307
2517,2247
2518,2325
2519,2182
2520,2132
2521,2148
2522,2245
2523,2196
2524,2237
2525,2118
2526,2047
2527,1970
2528,1774
2529,1735
2530,1715
2531,1558
2532,1133
2533,1363
2534,1577
2535,1459
2536,1736
2537,1789
2538,1606
2539,1286
2540,1272
2541,1010
2542,1123
2543,1388
2544,1543
2545,1590
2546,1576
2547,1653
2548,1606
2549,1755
2550,1668
2551,1665
2552,1659
2553,1768
2554,1794
2555,1816
2556,1798
2557,1781
2558,1830
2559,1670
2560,1471
2561,1244
2562,1122
2563,837
2564,582
2565,593
2566,814
2567,988
2568,1018
2569,1064
2570,1445
2571,1460
2572,1355
2573,1494
2574,1573
2575,1569
2576,1552
2577,1417
2578,1413
2579,1348
2580,1430
2581,1328
2582,1222
2583,1210
2584,1105
2585,989
2586,1133
2587,1123
2588,1021
2589,1293
2590,1206
2591,1070
2592,1115
2593,1004
2594,1136
2595,1000
2596,1096
2597,1034
2598,963
2599,702
2600,596
2601,578
2602,526
2603,574
2604,632
2605,650
2606,690
2607,814
2608,641
2609,704
2610,709
2611,729
2612,693
2613,707
2614,720
2615,800
2616,852
2617,732
2618,763
2619,745
2620,760
2621,795
2622,736
2623,660
2624,739
2625,664
2626,700
2627,726
2628,656
2629,678
2630,627
2631,592
2632,613
2633,613
2634,624
2635,601
2636,643
2637,572
2638,604
2639,584
2640,568
2641,552
2642,560
2643,591
2644,595
2645,575
2646,532
2647,536
2648,566
2649,570
2650,554
2651,673
2652,570
2653,598
2654,538
2655,578
2656,580
2657,668
2658,644
2659,499
2660,529
2661,477
2662,462
2663,342
2664,475
2665,451
2666,439
2667,408
2668,376
2669,299
2670,329
2671,393
2672,350
2673,302
2674,312
2675,325
2676,325
2677,287
2678,286
2679,240
2680,246
2681,306
2682,290
2683,268
2684,281
2685,289
2686,244
2687,171
2688,237
2689,221
2690,181
2691,156
2692,102
2693,103
2694,101
2695,101
2696,114
2697,117
2698,116
2699,106
2700,99
2701,100
2702,102
2703,106
2704,114
2705,105
2706,131
2707,105
2708,131
2709,103
2710,122
2711,103
2712,115
2713,127
2714,118
2715,103
2716,95
2717,92
2718,111
2719,88
2720,98
2721,102
2722,119
2723,108
2724,115
2725,109
2726,98
2727,116
2728,123
2729,112
2730,125
2731,111
2732,103
2733,89
2734,80
2735,78
2736,77
2737,80
2738,78
2739,80
2740,83
2741,80
2742,92
2743,83
2744,87
2745,90
2746,87
2747,77
2748,73
2749,75
2750,75
2751,78
2752,81
2753,79
2754,88
2755,78
2756,79
2757,76
2758,77
2759,78
2760,80
2761,75
