CODIGO,CATEGORIA,NOMBRE,MUNICIPIO,DEPARTAMENTO,AO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
26100690,PM,El Placer,Guadalajara de Buga,Valle del Cauca,9,2132,-76.1,3.88,124.4,102.4,148.4,180.6,152.3,70.4,53.3,52,93.1,199.2,180,123.7,1479.8
26095200,ME,La Magdalena ,Guadalajara de Buga,Valle del Cauca,9,1320,-76.18,3.87,112,98.6,149.7,188.7,166.2,92,55.3,65.8,114.6,196.1,205.6,133.1,1577.7
26100800,PM,Nogales Altagracia,Guadalajara de Buga,Valle del Cauca,9,2507,-76.07,3.89,94.8,94.2,110.3,133,113.3,51.3,37.5,37.6,77.7,165.4,149.9,94.1,1159.1
26055040,ME,Samarkanda,Jamundí,Valle del Cauca,9,1527,-76.7,3.17,250,242.2,310.1,406.1,371.5,245.8,145.2,138.7,255.5,382,399.4,304,3450.5
53110040,PM,Aguaclara,La Cumbre,Valle del Cauca,9,1500,-76.54,3.68,60.3,51.7,88.3,132.2,106.2,69.2,50.7,41.5,76.3,146,117.4,73.5,1013.3
26110380,PM,El Lucero ,La Unión,Valle del Cauca,9,976,-76.1,4.53,49.7,71.3,103.6,168.6,153.3,84.9,77.5,70.4,110.8,156.9,148.5,79.4,1274.9
26110050,PM,El Porvenir ,La Unión,Valle del Cauca,9,1020,-76.12,4.55,42.8,64.3,92.3,146.2,120.4,79.3,68.6,67.3,99.8,126.3,123.5,71,1101.8
26110290,PM,La Arboleda ,La Unión,Valle del Cauca,9,959,-76.09,4.53,38.6,67.3,99.7,162.3,138.2,81,73.3,68.6,105.8,131,126.3,65.1,1157.2
26110450,PM,La Despensa ,La Unión,Valle del Cauca,9,1604,-76.15,4.52,36.2,57.4,76.7,127,109.4,61.7,41.9,49.7,73.7,128.8,106.7,54.3,923.5
26100740,PM,San Pedro,La Victoria,Valle del Cauca,9,949,-76.04,4.52,57.5,61.7,110,167.4,147.3,100.3,79.8,70,111.1,132.8,108.1,71.3,1217.3
26100290,PM,Cruces,Obando,Valle del Cauca,9,970,-75.92,4.67,87.9,103,163.6,214.9,194.6,118.4,99.8,92.2,151.6,171.5,167.4,101.3,1666.2
26100300,PM,Obando,Obando,Valle del Cauca,9,986,-75.97,4.59,72.9,90.2,141.9,195.3,188.7,112.4,87,85.3,136.1,164.1,143.3,85.2,1502.4
26100280,PM,Puerto Molina,Obando,Valle del Cauca,9,939,-76.03,4.62,79.4,96.9,140.1,194.4,189,131.3,122.6,112.6,159.5,160.1,136.9,100.5,1623.3
26090880,PM,Austria,Palmira,Valle del Cauca,9,1750,-76.18,3.58,164.2,142.1,194.2,239.9,177.3,78.1,47.8,50.2,138.2,289.5,276.6,188.2,1986.3
